Region,Crop,Soil_Type,Irrigation_Type,Rainfall_mm,Temperature_C,Humidity_Percent,Soil_Moisture_Percent,Fertilizer_kg_per_hectare,Irrigation_Hours,Pest_Level,Crop_Yield_Tons_per_Hectare
Maharashtra,Cotton,Red Soil,Rainfed,411.1,30.5,77.8,35.2,128.2,7.7,2.9,3.81
Punjab,Cotton,Loamy,Rainfed,800.4,30.4,67.8,55.3,78.5,5.2,4.8,5.43
Andhra Pradesh,Cotton,Sandy,Drip,693.4,28.1,51.1,37.7,85.8,7.2,6.8,4.54
Punjab,Sugarcane,Loamy,Rainfed,1103.4,28.7,65.1,49.4,102.4,3.1,2.0,6.55
Punjab,Sugarcane,Red Soil,Rainfed,911.5,28.9,91.2,56.5,106.6,9.7,2.3,6.35
Karnataka,Wheat,Clay,Sprinkler,651.1,25.4,78.3,46.1,113.5,4.1,0.0,5.53
Andhra Pradesh,Rice,Clay,Sprinkler,967.7,33.9,63.5,58.8,116.7,10.5,3.5,6.44
Andhra Pradesh,Cotton,Sandy,Rainfed,694.5,33.3,45.6,45.2,158.2,4.2,3.3,4.02
Andhra Pradesh,Wheat,Black Soil,Sprinkler,999.9,31.2,58.0,43.9,101.1,9.9,5.1,5.68
Punjab,Rice,Sandy,Sprinkler,727.8,26.3,51.1,44.5,96.0,4.5,3.3,5.46
Maharashtra,Groundnut,Black Soil,Rainfed,1012.0,30.2,45.9,57.5,68.1,5.2,2.4,5.09
Andhra Pradesh,Maize,Loamy,Drip,875.9,31.9,77.4,46.1,107.2,7.0,3.8,5.79
West Bengal,Sugarcane,Loamy,Rainfed,1400.0,23.1,68.7,58.3,124.0,4.5,4.5,7.83
Punjab,Groundnut,Red Soil,Sprinkler,768.4,34.8,89.5,47.1,54.7,4.4,0.6,6.02
Karnataka,Rice,Black Soil,Drip,864.2,21.0,56.0,43.2,103.0,4.5,5.3,5.83
Maharashtra,Groundnut,Red Soil,Canal,674.5,30.8,68.0,43.6,155.6,8.0,5.9,5.19
West Bengal,Maize,Clay,Drip,780.6,33.8,51.3,44.9,137.7,7.0,4.5,5.59
West Bengal,Rice,Black Soil,Sprinkler,250.0,27.5,60.9,28.3,128.1,7.2,1.8,4.71
Karnataka,Groundnut,Sandy,Drip,882.4,27.4,65.3,52.9,136.7,6.0,2.9,5.51
Maharashtra,Sugarcane,Clay,Rainfed,1075.4,30.7,63.5,,94.9,8.6,5.6,5.93
Punjab,Sugarcane,Clay,Canal,867.3,35.4,68.6,44.6,90.3,10.2,1.7,6.63
Tamil Nadu,Wheat,Sandy,Canal,491.0,26.9,79.7,37.2,159.5,8.7,4.6,4.25
Maharashtra,Groundnut,Clay,Canal,603.6,24.9,78.4,38.5,144.0,6.4,3.4,5.74
Karnataka,Cotton,Black Soil,Sprinkler,250.0,26.3,58.8,27.4,88.9,3.3,3.8,4.11
West Bengal,Groundnut,Red Soil,Sprinkler,995.4,21.8,67.6,39.7,49.2,1.1,2.0,4.4
Punjab,Rice,Clay,Canal,558.6,31.6,77.5,36.1,89.6,6.8,4.1,5.24
Maharashtra,Rice,Black Soil,Drip,773.7,25.9,80.4,40.6,134.0,1.0,4.0,5.35
Tamil Nadu,Groundnut,Loamy,Canal,746.2,27.2,60.1,44.3,92.0,6.4,0.8,5.4
Tamil Nadu,Maize,Black Soil,Drip,1107.3,31.6,76.5,55.3,126.6,11.2,3.5,6.77
Andhra Pradesh,Sugarcane,Red Soil,Drip,798.8,26.5,72.0,40.2,164.7,3.5,4.6,5.89
Andhra Pradesh,Rice,Black Soil,Sprinkler,958.0,31.0,55.2,51.2,111.7,3.1,2.8,6.99
Karnataka,Sugarcane,Sandy,Drip,900.2,23.8,77.6,41.8,123.2,8.9,0.0,6.34
Maharashtra,Rice,Red Soil,Canal,1079.1,31.8,69.8,51.2,139.0,0.0,3.3,6.13
Maharashtra,Wheat,Loamy,Sprinkler,727.4,29.4,47.1,39.6,77.1,8.1,6.1,5.5
West Bengal,Cotton,Sandy,Rainfed,1191.3,27.6,64.5,59.3,87.9,11.4,2.9,5.81
West Bengal,Rice,Black Soil,Rainfed,343.2,28.5,68.5,34.3,140.4,4.4,6.1,3.94
West Bengal,Sugarcane,Red Soil,Sprinkler,968.6,22.9,60.7,48.6,116.3,3.9,2.0,5.68
Andhra Pradesh,Wheat,Loamy,Canal,589.3,28.4,82.7,36.0,119.3,8.8,1.4,5.51
Maharashtra,Rice,Sandy,Rainfed,671.6,27.4,83.2,39.8,116.2,3.5,3.5,4.8
Maharashtra,Maize,Loamy,Rainfed,905.3,23.0,63.4,58.6,149.2,9.4,2.0,6.5
Tamil Nadu,Cotton,Black Soil,Drip,903.5,25.3,62.1,44.6,130.2,3.7,4.1,6.05
Andhra Pradesh,Rice,Loamy,Drip,913.4,27.5,66.4,50.7,130.7,12.3,2.8,7.15
Punjab,Wheat,Clay,Canal,475.0,25.6,65.6,36.2,157.8,9.0,6.2,5.15
Andhra Pradesh,Maize,Sandy,Sprinkler,1098.8,18.4,60.9,55.2,171.2,7.1,2.7,6.11
Punjab,Groundnut,Loamy,Canal,581.9,32.3,35.0,44.6,193.5,12.1,3.7,5.8
Tamil Nadu,Wheat,Black Soil,Sprinkler,611.2,27.4,89.1,38.2,94.7,10.1,4.6,4.97
Karnataka,Wheat,Black Soil,Rainfed,920.3,18.9,68.0,52.3,201.4,8.1,5.2,6.39
Maharashtra,Maize,Loamy,Drip,716.9,36.5,65.9,59.5,76.6,1.4,6.2,5.14
Tamil Nadu,Wheat,Black Soil,Canal,847.8,33.0,71.9,49.6,182.7,4.9,3.1,6.1
Maharashtra,Maize,Red Soil,Canal,305.5,26.6,67.0,42.3,92.8,10.3,2.8,5.29
West Bengal,Rice,Red Soil,Sprinkler,842.6,24.6,62.8,49.0,112.6,3.1,0.1,6.72
Karnataka,Maize,Red Soil,Sprinkler,827.9,29.6,55.9,40.1,115.7,4.7,7.2,6.05
Karnataka,Maize,Clay,Canal,667.8,28.8,45.9,43.3,84.7,3.9,4.1,4.98
